"","ticker","etf_name"
"109","266360","KODEX ¹Ìµð¾î&¿£ÅÍÅ×ÀÎ¸ÕÆ®"
"110","176950","KODEX ±¹Ã¤¼±¹°10³âÀÎ¹ö½º"
"111","114100","KBSTAR ±¹°íÃ¤3³â"
"112","123320","TIGER ·¹¹ö¸®Áö"
"113","252420","KBSTAR 200¼±¹°ÀÎ¹ö½º2X"
"114","252400","KBSTAR 200¼±¹°·¹¹ö¸®Áö"
"115","279530","KODEX °í¹è´ç"
"116","304770","HANARO ÄÚ½º´Ú150"
"117","292160","TIGER KRX300"
"118","114470","KOSEF ±¹°íÃ¤3³â"
"119","316670","KOSEF ÄÚ½º´Ú150"
"120","243880","TIGER 200IT·¹¹ö¸®Áö"
"121","276970","KODEX ¹Ì±¹S&P°í¹è´çÄ¿¹öµåÄÝ(ÇÕ¼º H)"
"122","099140","KODEX China H"
"123","261250","KODEX ¹Ì±¹´Þ·¯¼±¹°·¹¹ö¸®Áö"
"124","091230","TIGER ¹ÝµµÃ¼"
"125","174360","KBSTAR Áß±¹º»Åä´ëÇüÁÖCSI100"
"126","204450","KODEX China H ·¹¹ö¸®Áö(H)"
"127","266410","KODEX ÇÊ¼ö¼ÒºñÀç"
"128","272910","KINDEX ÁßÀå±â±¹°øÃ¤¾×Æ¼ºê"
"129","223190","KODEX 200°¡Ä¡Àúº¯µ¿"
"130","272570","KBSTAR ÁßÀå±â±¹°øÃ¤¾×Æ¼ºê"
"131","245340","TIGER ¹Ì±¹´Ù¿ìÁ¸½º30"
"132","138230","KOSEF ¹Ì±¹´Þ·¯¼±¹°"
"133","108450","KINDEX »ï¼º±×·ì¼½ÅÍ°¡Áß"
"134","137610","TIGER ³ó»ê¹°¼±¹°Enhanced(H)"
"135","195920","TIGER ÀÏº»TOPIX(ÇÕ¼º H)"
"136","205720","KINDEX ÀÏº»TOPIXÀÎ¹ö½º(ÇÕ¼º H)"
"137","213610","KODEX »ï¼º±×·ì¹ë·ù"
"138","250780","TIGER ÄÚ½º´Ú150¼±¹°ÀÎ¹ö½º"
"139","278620","ARIRANG ´Ü±âÃ¤±Ç¾×Æ¼ºê"
"140","332620","ARIRANG ¹Ì±¹Àå±â¿ì·®È¸»çÃ¤"
"141","304940","KODEX ¹Ì±¹³ª½º´Ú100¼±¹°(H)"
"142","301440","ARIRANG ÄÚ½ºÇÇÁßÇüÁÖ"
"143","329750","TIGER ¹Ì±¹´Þ·¯´Ü±âÃ¤±Ç¾×Æ¼ºê"
"144","263190","ARIRANG ´Ü±â¿ì·®Ã¤±Ç"
"145","332610","ARIRANG ¹Ì±¹´Ü±â¿ì·®È¸»çÃ¤"
"146","333960","ARIRANG KS¸ð¸àÅÒ°¡ÁßTR"
"147","333980","ARIRANG KSÄ÷¸®Æ¼°¡ÁßTR"
"148","152870","ÆÄ¿ö 200"
"149","174350","TIGER ·Î¿ìº¼"
"150","211900","KODEX ¹è´ç¼ºÀå"
"151","310960","TIGER 200TR"
"152","217790","TIGER °¡°ÝÁ¶Á¤"
"153","329650","KODEX TRF3070"
"154","305050","KINDEX ÄÚ½ºÇÇ"
"155","225800","KOSEF ¹Ì±¹´Þ·¯¼±¹°·¹¹ö¸®Áö"
"156","314250","KODEX ¹Ì±¹FANGÇÃ·¯½º(H)"
"157","152500","KINDEX ·¹¹ö¸®Áö"
"158","269540","ARIRANG ¹Ì±¹S&P500(H)"
"159","277640","TIGER ÄÚ½ºÇÇ´ëÇüÁÖ"
"160","219900","KINDEX Áß±¹º»ÅäCSI300·¹¹ö¸®Áö(ÇÕ¼º)"
"161","114460","KINDEX Áß±â±¹°íÃ¤"
"162","227570","TIGER ¿ì·®°¡Ä¡"
"163","152380","KODEX ±¹Ã¤¼±¹°10³â"
"164","289040","KODEX MSCI KOREA ESGÀ¯´Ï¹ö¼³"
"165","230480","KOSEF ¹Ì±¹´Þ·¯¼±¹°ÀÎ¹ö½º2X"
"166","253250","KOSEF 200¼±¹°·¹¹ö¸®Áö"
"167","137930","¸¶ÀÌ´Ù½º 200Ä¿¹öµåÄÝ5%OTM"
"168","227540","TIGER 200 Çï½ºÄÉ¾î"
"169","237370","KODEX ¹è´ç¼ºÀåÃ¤±ÇÈ¥ÇÕ"
"170","147970","TIGER ¸ð¸àÅÒ"
"171","251590","ARIRANG °í¹è´çÀúº¯µ¿50"
"172","253160","ARIRANG 200¼±¹°ÀÎ¹ö½º2X"
"173","304760","HANARO KRX300"
"174","139270","TIGER 200 ±ÝÀ¶"
"175","333940","ARIRANG KS·Î¿ìº¼°¡ÁßTR"
"176","304780","HANARO 200¼±¹°·¹¹ö¸®Áö"
"177","292730","FOCUS KRX300"
"178","108590","TREX 200"
"179","276650","KBSTAR ±Û·Î¹ú4Â÷»ê¾÷IT(ÇÕ¼º H)"
"180","091180","KODEX ÀÚµ¿Â÷"
"181","304660","KODEX ¹Ì±¹Ã¤¿ïÆ®¶ó30³â¼±¹°(H)"
"182","261120","TIGER ¹Ì±¹´Þ·¯¼±¹°ÀÎ¹ö½º2X"
"183","256750","KODEX ½ÉÃµChiNext(ÇÕ¼º)"
"184","225130","KINDEX °ñµå¼±¹° ·¹¹ö¸®Áö(ÇÕ¼º H)"
"185","322410","HANARO °í¹è´ç"
"186","229720","KODEX KTOP30"
"187","333970","ARIRANG KS¹ë·ù°¡ÁßTR"
"188","337120","KODEX Fn¸ÖÆ¼ÆÑÅÍ"
"189","276990","KODEX ±Û·Î¹ú4Â÷»ê¾÷·Îº¸Æ½½º(ÇÕ¼º)"
"190","182490","TIGER ´Ü±â¼±ÁøÇÏÀÌÀÏµå(ÇÕ¼º H)"
"191","281990","KBSTAR Áß¼ÒÇü°í¹è´ç"
"192","210780","TIGER ÄÚ½ºÇÇ°í¹è´ç"
"193","226980","KODEX 200 Áß¼ÒÇü"
"194","277540","KINDEX S&P¾Æ½Ã¾ÆTOP50"
"195","354500","KINDEX ÄÚ½º´Ú150"
"196","248270","TIGER S&P±Û·Î¹úÇï½ºÄÉ¾î(ÇÕ¼º)"
"197","244580","KODEX ¹ÙÀÌ¿À"
"198","261260","KODEX ¹Ì±¹´Þ·¯¼±¹°ÀÎ¹ö½º2X"
"199","117700","KODEX °Ç¼³"
"200","292750","ARIRANG KRX300"
"201","287180","ARIRANG ¹Ì±¹³ª½º´Ú±â¼úÁÖ"
"202","279540","KODEX ÃÖ¼Òº¯µ¿¼º"
"203","285690","FOCUS ESG¸®´õ½º"
"204","183700","KBSTAR Ã¤±ÇÈ¥ÇÕ"
"205","309230","KINDEX ¹Ì±¹WideMoat°¡Ä¡ÁÖ"
"206","167860","KOSEF ±¹°íÃ¤10³â·¹¹ö¸®Áö"
"207","237350","KODEX ÄÚ½ºÇÇ100"
"208","248260","TIGER ÀÏº»TOPIXÇï½ºÄÉ¾î(ÇÕ¼º)"
"209","200250","KOSEF ÀÎµµNifty50(ÇÕ¼º)"
"210","236350","TIGER ÀÎµµ´ÏÇÁÆ¼50·¹¹ö¸®Áö(ÇÕ¼º)"
"211","225030","TIGER ¹Ì±¹S&P500¼±¹°ÀÎ¹ö½º(H)"
"212","211560","TIGER ¹è´ç¼ºÀå"
"213","208470","SMART ¼±Áø±¹MSCI World(ÇÕ¼º H)"
"214","261140","TIGER ¿ì¼±ÁÖ"
"215","261060","TIGER ÄÚ½º´Ú150IT"
"216","333950","ARIRANG KS·Î¿ì»çÀÌÁî°¡ÁßTR"
"217","252730","KBSTAR ¸ð¸àÅÒ·Î¿ìº¼"
"218","284430","KODEX 200¹Ì±¹Ã¤È¥ÇÕ"
"219","271050","KODEX WTI¿øÀ¯¼±¹°ÀÎ¹ö½º(H)"
"220","139250","TIGER 200 ¿¡³ÊÁöÈ­ÇÐ"
"221","218420","KODEX ¹Ì±¹S&P¿¡³ÊÁö(ÇÕ¼º)"
"222","237440","TIGER °æ±â¹æ¾îÃ¤±ÇÈ¥ÇÕ"
"223","244620","KODEX ¸ð¸àÅÒPlus"
"224","315270","TIGER 200Ä¿¹Â´ÏÄÉÀÌ¼Ç¼­ºñ½º"
"225","152280","KOSEF 200 ¼±¹°"
"226","203780","TIGER ¹Ì±¹³ª½º´Ú¹ÙÀÌ¿À"
"227","289480","TIGER 200Ä¿¹öµåÄÝATM"
"228","239660","ARIRANG ¿ì·®È¸»çÃ¤50 1³â"
"229","280320","KINDEX ¹Ì±¹4Â÷»ê¾÷ÀÎÅÍ³Ý(ÇÕ¼º H)"
"230","266420","KODEX Çï½ºÄÉ¾î"
"231","228790","TIGER È­ÀåÇ°"
"232","251600","ARIRANG °í¹è´çÁÖÃ¤±ÇÈ¥ÇÕ"
"233","140950","ÆÄ¿ö ÄÚ½ºÇÇ100"
"234","322400","HANARO eÄ¿¸Ó½º"
"235","256440","KINDEX ÀÎµµ³×½Ã¾ÆMSCI(ÇÕ¼º)"
"236","316300","KINDEX ½Ì°¡Æ÷¸£¸®Ã÷"
"237","139230","TIGER 200 Áß°ø¾÷"
"238","266160","KBSTAR °í¹è´ç"
"239","329660","KODEX TRF5050"
"240","329670","KODEX TRF7030"
"241","342140","KINDEX ¸ð´×½ºÅ¸½Ì°¡Æ÷¸£¸®Ã÷Ã¤±ÇÈ¥ÇÕ"
"242","276000","TIGER ±Û·Î¹úÀÚ¿ø»ý»ê±â¾÷(ÇÕ¼º H)"
"243","241180","TIGER ÀÏº»´ÏÄÉÀÌ225"
"244","306520","HANARO 200¼±¹°ÀÎ¹ö½º"
"245","269420","KODEX S&P±Û·Î¹úÀÎÇÁ¶ó(ÇÕ¼º)"
"246","104520","KOSEF ºí·çÄ¨"
"247","300950","KODEX °ÔÀÓ»ê¾÷"
"248","143460","KINDEX ¹ë·ù´ëÇü"
"249","280930","KODEX ¹Ì±¹·¯¼¿2000(H)"
"250","319640","TIGER °ñµå¼±¹°(H)"
"251","168300","KTOP ÄÚ½ºÇÇ50"
"252","326240","KBSTAR ITÇÃ·¯½º"
"253","292560","TIGER ÀÏº»¿£¼±¹°"
"254","253230","KOSEF 200¼±¹°ÀÎ¹ö½º2X"
"255","253150","ARIRANG 200¼±¹°·¹¹ö¸®Áö"
"256","308620","KODEX ¹Ì±¹Ã¤10³â¼±¹°"
"257","253290","KBSTAR Çï½ºÄÉ¾îÃ¤±ÇÈ¥ÇÕ"
"258","346000","HANARO KAPÃÊÀå±â±¹°íÃ¤"
"259","306950","KODEX KRX300·¹¹ö¸®Áö"
"260","261110","TIGER ¹Ì±¹´Þ·¯¼±¹°·¹¹ö¸®Áö"
"261","322130","KINDEX ½º¸¶Æ®·Î¿ìº¼"
